franchise,player,pos,before_status,after_status,before_salary,after_salary,before_contractYear,after_contractYear,before_contractInfo,after_contractInfo,status_changed,contractInfo_changed,salary_changed
Gride,"Neal, Devin",RB,Rookie,Rookie-Draft,2000,2000,2,2,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,Y,,
Gride,"Njoku, David",TE,Veteran,Vet-FAA,27000,27000,1,1,CL 2| TCV 54K| AAV 27K,CL 2| TCV 54K| AAV 27K,Y,,
Gride,"Pittman, Michael",WR,Veteran,Vet-Ext2,45000,45000,1,1,CL 3| TCV 115K| AAV 45K| Y1-25K Y2-45K Y3-45K| Ext: PG,CL 3| TCV 115K| AAV 45K| Y1-25K Y2-45K Y3-45K| Ext: PG,Y,,
Gride,"Price, Jadarian",RB,R,Rookie-Draft,12000,12000,3,3,"CL 3|TCV 36K|AAV 12K|Y1-12K, Y2-12K, Y3-12K|GTD: 27K|Keep Option as Y4Option =17K","CL 3|TCV 36K|AAV 12K|Y1-12K, Y2-12K, Y3-12K, Y4-17K Option|GTD: 27K",Y,Y,
Gride,"Randall, Adam",RB,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Gride,"Rice, Brenden",WR,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Gride,"Samuel, Deebo",WR,Veteran,Vet-FAA,8000,8000,2,2,CL 3| TCV 24K| AAV 8K,CL 3| TCV 24K| AAV 8K,Y,,
Gride,"Skattebo, Cam",RB,Rookie,Rookie-Draft,5000,5000,2,2,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,Y,,
Gride,"Smack, Trey",PK,R,Rookie-Draft,1000,1000,3,3,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",Y,,
Gride,"Tyson, Jordyn",WR,R,Rookie-Draft,11000,11000,3,3,"CL 3|TCV 33K|AAV 11K|Y1-11K, Y2-11K, Y3-11K|GTD: 24.8K|Keep Option as Y4Option =16K","CL 3|TCV 33K|AAV 11K|Y1-11K, Y2-11K, Y3-11K, Y4-16K Option|GTD: 24.8K",Y,Y,
Gride,"Vidal, Kimani",RB,Rookie,Rookie-Draft,2000,2000,1,1,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,Y,,
Gride,"Williams, Antonio",WR,R,Rookie-Draft,5000,5000,3,3,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K|Keep Option as Y4Option =10K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K, Y4-10K Option|GTD: 11.3K",Y,Y,
Gride,"Wilson, Payton",LB,(blank),Rookie-Draft,(blank),1000,(blank),1,(blank),CL 3| TCV 3K| AAV 1K,Y,Y,Y
Gride,"Young, Bryce",QB,EXT2,Vet-Ext2,33000,33000,2,2,"CL 2|TCV 66K|AAV 33K|Y1-33K, Y2-33K|Ext: GRID|GTD: 49.5K","CL 2|TCV 66K|AAV 33K|Y1-33K, Y2-33K|Ext: GRID|GTD: 49.5K",Y,,
HammerTime 🔨 ⏰,"Addison, Jordan",WR,Veteran,Vet-Ext1,17000,17000,1,1,CL 2| TCV 24K| AAV 17K| Ext: LH,CL 2| TCV 24K| AAV 17K| Ext: LH,Y,,
HammerTime 🔨 ⏰,"Bateman, Rashod",WR,Veteran,Vet-FAA,5000,5000,2,2,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,Y,,
HammerTime 🔨 ⏰,"Bell, Skyler",WR,R,Rookie-Draft,5000,5000,3,3,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",Y,,
HammerTime 🔨 ⏰,"Burden, Luther",WR,Rookie,Rookie-Draft,5000,5000,2,2,CL 3| TCV 15K| AAV 5K | Option Eligible,CL 3| TCV 15K| AAV 5K | Option Eligible,Y,,
HammerTime 🔨 ⏰,"Campbell, Jack",LB,Veteran,Vet-MYM,3000,3000,1,1,"CL 3| TCV 9K| AAV 3K| Y1-3, Y2-3, Y3-3","CL 3| TCV 9K| AAV 3K| Y1-3, Y2-3, Y3-3",Y,,
HammerTime 🔨 ⏰,"Chase, Ja'Marr",WR,BL,Vet-Ext2-BL,26000,26000,2,2,"CL 2| TCV 129K| AAV 54K| Y1-26K, Y2-103K| GTD: 96.8K| Ext: Creel, Hammer","CL 2| TCV 129K| AAV 54K| Y1-26K, Y2-103K| GTD: 96.8K| Ext: Creel, Hammer| restructure: 2026",Y,Y,
HammerTime 🔨 ⏰,"Claiborne, Demond",RB,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
HammerTime 🔨 ⏰,"Franklin, Troy",WR,Rookie,Rookie-Draft,5000,5000,1,1,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,Y,,
HammerTime 🔨 ⏰,"Gray, Cedric",LB,Rookie,Rookie-Draft,1000,1000,1,1,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,Y,,
HammerTime 🔨 ⏰,"Hockenson, T.J.",TE,MYM - Vet,Vet-MYM,11000,11000,2,2,"CL 3| TCV 33K| AAV 11K| Y1-11K, Y2-11K, Y3-11K| GTD: 24750","CL 3| TCV 33K| AAV 11K| Y1-11K, Y2-11K, Y3-11K| GTD: 24750",Y,,
HammerTime 🔨 ⏰,"Laube, Dylan",RB,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
HammerTime 🔨 ⏰,"Lawrence, Malachi",DE,R,Rookie-Draft,1000,1000,3,3,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",Y,,
HammerTime 🔨 ⏰,"McBride, Trey",TE,BL,Vet-Ext2-BL,35000,35000,1,1,"CL 2| TCV 44K| AAV 22K| Y1-9K, Y2-35K| Ext: Hammer","CL 2| TCV 44K| AAV 22K| Y1-9K, Y2-35K| Ext: Hammer",Y,,
HammerTime 🔨 ⏰,"McConkey, Ladd",WR,Rookie,Rookie-Draft,5000,5000,1,1,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,Y,,
HammerTime 🔨 ⏰,"Mesidor, Akheem",DE,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
HammerTime 🔨 ⏰,"Montgomery, David",RB,EXT1,Vet-Ext1,12000,12000,2,2,"CL 2| TCV 42K| AAV 20K, 30K| Y1-12K, Y2-30K| Ext: Hammer| GTD: 31.5K","CL 2| TCV 42K| AAV 20K, 30K| Y1-12K, Y2-30K| Ext: Hammer| GTD: 31.5K",Y,,
HammerTime 🔨 ⏰,"Murphy, Byron",DT,(blank),Rookie-Draft,(blank),1000,(blank),1,(blank),CL 3| TCV 3K| AAV 1K,Y,Y,Y
HammerTime 🔨 ⏰,"Penix Jr., Michael",QB,Rookie,Rookie-Draft,5000,5000,1,1,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,Y,,
HammerTime 🔨 ⏰,"Richardson, Anthony",QB,Veteran,Vet-WW,11000,11000,2,2,CL 3| TCV 33K| AAV 11K,CL 3| TCV 33K| AAV 11K,Y,,
HammerTime 🔨 ⏰,"Sinnott, Ben",TE,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
HammerTime 🔨 ⏰,"Smith, Ainias",WR,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
HammerTime 🔨 ⏰,"Smith, Geno",QB,BL,Vet-FAA-BL,1000,1000,2,2,"CL 3| TCV 45K| AAV 15K| Y1-9K, Y2-1K, Y3-35K","CL 3| TCV 45K| AAV 15K| Y1-9K, Y2-1K, Y3-35K",Y,,
HammerTime 🔨 ⏰,"Smith, Jonnu",TE,Veteran,Vet-FAA,6000,6000,2,2,"CL 3| TCV 18K| AAV 6K| Y1-6K, Y2-6K, Y3-6K","CL 3| TCV 18K| AAV 6K| Y1-6K, Y2-6K, Y3-6K",Y,,
HammerTime 🔨 ⏰,"Stover, Cade",TE,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
HammerTime 🔨 ⏰,"Stroud, C.J.",QB,EXT1,Vet-Ext1,22000,22000,1,1,CL 1| TCV 22K| AAV 22K| Y1-22K| GTD: 16.5K| Ext: 🔨 ⏰,CL 1| TCV 22K| AAV 22K| Y1-22K| GTD: 16.5K| Ext: 🔨 ⏰,Y,,
HammerTime 🔨 ⏰,"Taylor, Mason",TE,Rookie,Rookie-Draft,2000,2000,2,2,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,Y,,
HammerTime 🔨 ⏰,"Walker III, Kenneth",RB,BL,Vet-Ext1-BL,15000,15000,2,2,"CL 2| TCV 74K| AAV 32K, 42K| Y1-15K, Y2-59K| GTD: 55.5K| Ext: PG, RealDeal","CL 2| TCV 74K| AAV 32K, 42K| Y1-15K, Y2-59K| GTD: 55.5K| Ext: PG, RealDeal| restructure: 2026",Y,Y,
HammerTime 🔨 ⏰,"Walker, Jalon",DE,(blank),Rookie-Draft,(blank),1000,(blank),2,(blank),CL 3| TCV 3K| AAV 1K,Y,Y,Y
HammerTime 🔨 ⏰,"Williams, Javonte",RB,TAG,Tag,30000,30000,1,1,CL 1| TCV 30K| AAV 30K| GTD 22.5K| Tag| Tier 3| Formula: Avg Top 9-31 RB AAV | 10% AAV floor (rounded up to $1K) | 10% AAV floor (rounded up to $1K),CL 1| TCV 30K| AAV 30K| GTD 22.5K| Tag| Tier 3| Formula: Avg Top 9-31 RB AAV | 10% AAV floor (rounded up to $1K) | 10% AAV floor (rounded up to $1K),Y,,
Hawks,"Allar, Drew",QB,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Hawks,"Allen, CJ",LB,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Hawks,"Allen, LeQuint",RB,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Hawks,"Black, Kaelon",RB,R,Rookie-Draft,5000,5000,3,3,"CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K","CL 3|TCV 15K|AAV 5K|Y1-5K, Y2-5K, Y3-5K|GTD: 11.3K",Y,,
Hawks,"Brown, Marquise",WR,Veteran,Vet-FAA,8000,8000,1,1,"CL 3| TCV 24K| AAV 8K| Y1-8, Y2-8, Y3-8","CL 3| TCV 24K| AAV 8K| Y1-8, Y2-8, Y3-8",Y,,
Hawks,"Bullard, Javon",S,Rookie,Rookie-Draft,1000,1000,1,1,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,Y,,
Hawks,"Carter, Abdul",DE,Rookie,Rookie-Draft,2000,2000,2,2,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,Y,,
Hawks,"Corley, Malachi",WR,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Hawks,"Delane, Mansoor",CB,R,Rookie-Draft,1000,1000,3,3,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",Y,,
Hawks,"Dike, Chimere",WR,Rookie,Rookie-MYM,5000,5000,2,2,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,Y,,
Hawks,"Dobbins, J.K.",RB,Veteran,Vet-FAA,9000,9000,1,1,"CL 3| TCV 27K| AAV 9K| Y1-9, Y2-9, Y3-9","CL 3| TCV 27K| AAV 9K| Y1-9, Y2-9, Y3-9",Y,,
Hawks,"Evans, Mike",WR,Veteran,Vet-FAA,24000,24000,1,1,"CL 3| TCV 72K| AAV 24K| Y1-24, Y2-24, Y3-24","CL 3| TCV 72K| AAV 24K| Y1-24, Y2-24, Y3-24",Y,,
Hawks,"Harvey, RJ",RB,Rookie,Rookie-Draft,11000,11000,2,2,CL 3| TCV 33K| AAV 11K | Option Eligible,CL 3| TCV 33K| AAV 11K | Option Eligible,Y,,
Hawks,"Johnson, Kaleb",RB,Rookie,Rookie-Draft,6000,6000,2,2,CL 3| TCV 18K| AAV 6K | Option Eligible,CL 3| TCV 18K| AAV 6K | Option Eligible,Y,,
Hawks,"Jones, Marcus",CB,Veteran,Vet-MYM,1000,1000,1,1,"CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1","CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1",Y,,
Hawks,"Kincaid, Dalton",TE,Veteran,Vet-Ext2,29000,29000,2,2,CL 3| TCV 67K| AAV 29K| Ext: PG,CL 3| TCV 67K| AAV 29K| Ext: PG,Y,,
Hawks,"Lane, Ja'Kobi",WR,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Hawks,"Lane, Jaylin",WR,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Hawks,"Lemon, Makai",WR,R,Rookie-Draft,10000,10000,3,3,"CL 3|TCV 30K|AAV 10K|Y1-10K, Y2-10K, Y3-10K|GTD: 22.5K|Keep Option as Y4Option =15K","CL 3|TCV 30K|AAV 10K|Y1-10K, Y2-10K, Y3-10K, Y4-15K Option|GTD: 22.5K",Y,Y,
Hawks,"Martin, Nick",LB,(blank),Rookie-Draft,(blank),1000,(blank),2,(blank),CL 3| TCV 3K| AAV 1K,Y,Y,Y
Hawks,"Meyers, Jakobi",WR,Veteran,Vet-FAA,4000,4000,1,1,"CL 3| TCV 12K| AAV 4K| Y1-4, Y2-4, Y3-4","CL 3| TCV 12K| AAV 4K| Y1-4, Y2-4, Y3-4",Y,,
Hawks,"Owusu-Koramoah, Jeremiah",LB,Veteran,Vet-FAA,1000,1000,1,1,"CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1","CL 3| TCV 3K| AAV 1K| Y1-1, Y2-1, Y3-1",Y,,
Hawks,"Robinson, Chop",DE,Rookie,Rookie-Draft,2000,2000,1,1,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,Y,,
Hawks,"Tate, Carnell",WR,R,Rookie-Draft,14000,14000,3,3,"CL 3|TCV 42K|AAV 14K|Y1-14K, Y2-14K, Y3-14K|GTD: 31.5K|Keep Option as Y4Option =19K","CL 3|TCV 42K|AAV 14K|Y1-14K, Y2-14K, Y3-14K, Y4-19K Option|GTD: 31.5K",Y,Y,
Hawks,"Warner, Fred",LB,Veteran,Vet-FAA,4000,4000,1,1,"CL 3| TCV 12K| AAV 4K| Y1-4, Y2-4, Y3-4","CL 3| TCV 12K| AAV 4K| Y1-4, Y2-4, Y3-4",Y,,
Hawks,"Williams, Kyren",RB,Veteran,Vet-Ext2,22000,22000,1,1,"CL 2| TCV 44K| AAV 22K| Y1-22K, Y2-22K| Ext: Hawks","CL 2| TCV 44K| AAV 22K| Y1-22K, Y2-22K| Ext: Hawks",Y,,
Hawks,"Wilson, Michael",WR,Veteran,Vet-MYM,5000,5000,2,2,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,Y,,
Hawks,"Worthy, Xavier",WR,Rookie,Rookie-Draft,5000,5000,1,1,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,Y,,
L.A. Looks,"Allen, Braelon",RB,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
L.A. Looks,"Aubrey, Brandon",PK,Veteran,Vet-FAA,2000,2000,1,1,CL 2| TCV 4K| AAV 2K,CL 2| TCV 4K| AAV 2K,Y,,
L.A. Looks,"Bailey, David",DE,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
L.A. Looks,"Battle, Jordan",S,Vet-ERA,Vet-ERA,4000,4000,1,1,CL 1| TCV 4K| AAV 4K,CL 1| TCV 4K| AAV 4K,,,
L.A. Looks,"Bigsby, Tank",RB,Vet-ERA,Vet-ERA,4000,4000,1,1,CL 1| TCV 4K| AAV 4K,CL 1| TCV 4K| AAV 4K,,,
L.A. Looks,"Brown, Chase",RB,EXT2,Vet-Ext2,22000,22000,2,2,"CL 2|TCV 44K|AAV 22K|Y1-22K, Y2-22K|Ext: L.A.|GTD: 33K","CL 2|TCV 44K|AAV 22K|Y1-22K, Y2-22K|Ext: L.A.|GTD: 33K",Y,,
L.A. Looks,"Burks, Deion",WR,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
L.A. Looks,"Charbonnet, Zach",RB,Vet-ERA,Vet-ERA,7000,7000,1,1,CL 1| TCV 7K| AAV 7K,CL 1| TCV 7K| AAV 7K,,,
L.A. Looks,"Curl, Kamren",S,TAG,Tag,4000,4000,1,1,CL 1| TCV 4K| AAV 4K| GTD 3K| Tag| Tier 1| Formula: Avg Top 1-6 DB AAV,CL 1| TCV 4K| AAV 4K| GTD 3K| Tag| Tier 1| Formula: Avg Top 1-6 DB AAV,Y,,
L.A. Looks,"Elliott, DeShon",S,Veteran,Vet-MYM,1000,1000,1,1,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K","CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K",Y,,
L.A. Looks,"Emmanwori, Nick",S,Rookie,Rookie-Draft,1000,1000,2,2,CL 3| TCV 3K| AAV 1K,CL 3| TCV 3K| AAV 1K,Y,,
L.A. Looks,"Ferguson, Jake",TE,Veteran,Vet-Ext1,21000,21000,1,1,"CL 2| TCV 32K| AAV 21K| Y1-11, Y2-21| Ext: Blake, L.A. Looks","CL 2| TCV 32K| AAV 21K| Y1-11, Y2-21| Ext: Blake, L.A. Looks",Y,,
L.A. Looks,"Green, Mike",DE,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
L.A. Looks,"Henry, Robert",RB,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
L.A. Looks,"Jennings, Jauan",WR,Veteran,Vet-Ext1,21000,21000,1,1,"CL 2| TCV 32K| AAV 21K| Y1-11K, Y2-21K| Ext: Creel, L.A.| GTD: 24K","CL 2| TCV 32K| AAV 21K| Y1-11K, Y2-21K| Ext: Creel, L.A.| GTD: 24K",Y,,
L.A. Looks,"Lance, Bryce",WR,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
L.A. Looks,"Latu, Laiatu",DE,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
L.A. Looks,"McNeil-Warren, Emmanuel",S,R,Rookie-Draft,1000,1000,3,3,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",Y,,
L.A. Looks,"Mims, Marvin",WR,Vet-ERA,Vet-ERA,1000,1000,1,1,CL 1| TCV 1K| AAV 1K,CL 1| TCV 1K| AAV 1K,,,
L.A. Looks,"Mitchell, Adonai",WR,(blank),Rookie-Draft,(blank),5000,(blank),1,(blank),CL 3| TCV 15K| AAV 5K,Y,Y,Y
L.A. Looks,"Nix, Bo",QB,Rookie,Rookie-Draft,5000,5000,1,1,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,Y,,
L.A. Looks,"Parkinson, Colby",TE,MYM - Vet,Vet-MYM,1000,1000,1,1,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K","CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K",Y,,
L.A. Looks,"Pierce, Alec",WR,Veteran,Vet-FAA,2000,2000,1,1,CL 2| TCV 4K| AAV 2K,CL 2| TCV 4K| AAV 2K,Y,,
L.A. Looks,"Sampson, Dylan",RB,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
L.A. Looks,"Sanders, Shedeur",QB,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
L.A. Looks,"Sorsby, Brendan",QB,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
L.A. Looks,"St. Brown, Amon-Ra",WR,TAG,Tag,51000,51000,1,1,CL 1| TCV 51K| AAV 51K| GTD 38.3K| Tag| Tier 1| Formula: Avg Top 1-6 WR AAV,CL 1| TCV 51K| AAV 51K| GTD 38.3K| Tag| Tier 1| Formula: Avg Top 1-6 WR AAV,Y,,
L.A. Looks,"Sutton, Courtland",WR,Veteran,Vet-Ext1,15000,15000,1,1,"CL 2| TCV 30K| AAV 20K| Y1-15K, Y2-15K| Ext: L.A. Looks","CL 2| TCV 30K| AAV 20K| Y1-15K, Y2-15K| Ext: L.A. Looks| restructure: 2025",Y,Y,
L.A. Looks,"Turner, Dallas",DE,(blank),Rookie-Draft,(blank),1000,(blank),1,(blank),CL 3| TCV 3K| AAV 1K,Y,Y,Y
L.A. Looks,"Wentz, Carson",QB,Veteran,Vet-MYM,1000,1000,1,1,CL 2| TCV 2K| AAV 1K,CL 2| TCV 2K| AAV 1K,Y,,
L.A. Looks,"Williams, Isaiah",WR,Veteran,Vet-MYM,1000,1000,1,1,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K","CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K",Y,,
Pure Greatness,"Adams, Davante",WR,FL,Vet-FAA-FL,20000,20000,1,1,"CL 3| TCV 90K| AAV 30K| Y1-50, Y2-20, Y3-20","CL 3| TCV 90K| AAV 30K| Y1-50, Y2-20, Y3-20",Y,,
Pure Greatness,"All, Erick",TE,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Pure Greatness,"Bosa, Nick",DE,Veteran,Vet-FAA,5000,5000,1,1,"CL 3| TCV 15K| AAV 5K| Y1-5, Y2-5, Y3-5","CL 3| TCV 15K| AAV 5K| Y1-5, Y2-5, Y3-5",Y,,
Pure Greatness,"Douglas, Caleb",WR,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Pure Greatness,"Ertz, Zach",TE,MYM - Vet,Vet-MYM,1000,1000,1,1,"CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K","CL 2| TCV 2K| AAV 1K| Y1-1K, Y2-1K| GTD: 1K",Y,,
Pure Greatness,"Flowers, Zay",WR,Veteran,Vet-Ext2,25000,25000,2,2,"CL 3| TCV 55K| AAV 25K| Y1-5, Y2-25, Y3-25| Ext: GRide","CL 3| TCV 55K| AAV 25K| Y1-5, Y2-25, Y3-25| Ext: GRide",Y,,
Pure Greatness,"Garrett, Myles",DE,TAG,Tag,10000,10000,1,1,CL 1| TCV 10K| AAV 10K| GTD 7.5K| Tag| Tier 1| Formula: Avg Top 1-6 DL AAV | 10% salary floor (rounded up),CL 1| TCV 10K| AAV 10K| GTD 7.5K| Tag| Tier 1| Formula: Avg Top 1-6 DL AAV | 10% salary floor (rounded up),Y,,
Pure Greatness,"Gibbs, Jahmyr",RB,Veteran,Vet-Ext2,31000,31000,2,2,"CL 3| TCV 73K| AAV 31K| Y1-11K, Y2-31K, Y3-31K| Ext: Sex","CL 3| TCV 73K| AAV 31K| Y1-11K, Y2-31K, Y3-31K| Ext: Sex",Y,,
Pure Greatness,"Horton, Tory",WR,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Pure Greatness,"Irving, Bucky",RB,Rookie,Rookie-Draft,2000,2000,1,1,CL 3| TCV 6K| AAV 2K,CL 3| TCV 6K| AAV 2K,Y,,
Pure Greatness,"Jeanty, Ashton",RB,Rookie,Rookie-Draft,15000,15000,2,2,CL 3| TCV 45K| AAV 15K | Option Eligible,CL 3| TCV 45K| AAV 15K | Option Eligible,Y,,
Pure Greatness,"Jefferson, Justin",WR,BL,Vet-Ext2-BL,71000,71000,1,1,"CL 2| TCV 96K| AAV 48K| Y1-25K, Y2-71K| Ext:  Sex, Hammer","CL 2| TCV 96K| AAV 48K| Y1-25K, Y2-71K| Ext:  Sex, Hammer| restructure: 2025",Y,Y,
Pure Greatness,"Klare, Max",TE,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Pure Greatness,"Legette, Xavier",WR,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Pure Greatness,"Maye, Drake",QB,Rookie,Rookie-Draft,8000,8000,1,1,CL 3| TCV 24K| AAV 8K,CL 3| TCV 24K| AAV 8K,Y,,
