season,server,league_id
2010,www45,60671
2011,www46,40832
2012,www45,37227
2013,www46,42721
2014,www45,30590
2015,www44,29015
2016,www48,27191
2017,www48,74598
2018,www48,74598
2019,www48,74598
2020,www48,74598
2021,www48,74598
2022,www48,74598
2023,www48,74598
2024,www48,74598
2025,www48,74598
