projection_season,player_id,player_name,position,nfl_team,adp_segment,normalized_adp,weight,projected_perceived_value,projected_winning_bid,expected_reg_points,expected_reg_ppg,expected_points_per_1000_bid
2026,14303,"Elliss, Kaden",LB,ATL,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,15713,"Ford, Jerome",RB,CLE,NON_IDP,400.0,0.05,1900.3,1900.3,76.9,5.91,40.467
2026,15032,"Fox, Jack",PN,DET,NON_IDP,400.0,0.05,1900.3,1900.3,105.44,7.834,55.486
2026,15720,"Haskins, Hassan",RB,LAC,NON_IDP,400.0,0.05,1900.3,1900.3,76.9,5.91,40.467
2026,14167,"Hines-Allen, Josh",DE,JAC,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,14861,"Johnson, Juwan",TE,NOS,NON_IDP,14.25,0.26490647141300877,10068.05,10068.05,114.21,8.155,11.344
2026,17079,"Johnson, Tez",WR,TBB,NON_IDP,24.25,0.20306923302672383,7717.86,7717.86,105.23,7.778,13.635
2026,16672,"Lassiter, Kamari",CB,HOU,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,15368,"McPherson, Evan",PK,CIN,NON_IDP,400.0,0.05,1900.3,1900.3,59.54,5.803,31.332
2026,16171,"Miller, Kendre",RB,NOS,NON_IDP,24.0,0.20412414523193154,7757.95,7757.95,83.6,6.356,10.776
2026,14669,"Nixon, Keisean",CB,GBP,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,15388,"Ossai, Joseph",DE,CIN,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,16174,"Rodriguez, Chris",RB,WAS,NON_IDP,22.25,0.211999576001272,8057.26,8057.26,85.21,6.463,10.576
2026,13124,"Rush, Cooper",QB,BAL,NON_IDP,400.0,0.05,1900.3,1900.3,191.17,15.162,100.6
2026,16165,"Spears, Tyjae",RB,TEN,NON_IDP,17.0,0.24253562503633297,9217.82,9217.82,91.51,6.883,9.928
2026,16450,"Thomas, Drake",LB,SEA,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,14877,"Young, Chase",DE,NOS,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,14893,"Baun, Zack",LB,PHI,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,16153,"Bennett, Stetson",QB,LAR,NON_IDP,400.0,0.05,1900.3,1900.3,191.17,15.162,100.6
2026,14892,"Brooks, Jordyn",LB,MIA,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,13610,"Chubb, Nick",RB,HOU,NON_IDP,25.583333333333332,0.19770672189568103,7514.05,7514.05,82.3,6.27,10.953
2026,15839,"Cross, Nick",S,IND,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,16675,"DeJean, Cooper",CB,PHI,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,11247,"Ertz, Zach",TE,WAS,NON_IDP,400.0,0.05,1900.3,1900.3,86.03,6.054,45.272
2026,13138,"Hunt, Kareem",RB,KCC,NON_IDP,25.416666666666668,0.19835388147218588,7538.65,7538.65,82.43,6.278,10.934
2026,15805,"Hutchinson, Aidan",DE,DET,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,13714,"James, Derwin",S,LAC,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,11244,"Kelce, Travis",TE,KCC,NON_IDP,22.083333333333332,0.2127980706395726,8087.61,8087.61,98.39,6.975,12.166
2026,16680,"Little, Cam",PK,JAC,NON_IDP,400.0,0.05,1900.3,1900.3,59.54,5.803,31.332
2026,16263,"Martin, Quan",S,WAS,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,12447,"Mostert, Raheem",RB,LVR,NON_IDP,400.0,0.05,1900.3,1900.3,76.9,5.91,40.467
2026,16283,"Overshown, DeMarvion",LB,DAL,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,16887,"Rehkow, Ryan",PN,CIN,NON_IDP,400.0,0.05,1900.3,1900.3,105.44,7.834,55.486
2026,14302,"Scott, Nick",S,CAR,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,14148,"Sweat, Montez",DE,CHI,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,16216,"Washington, Darnell",TE,PIT,NON_IDP,400.0,0.05,1900.3,1900.3,86.03,6.054,45.272
2026,15721,"White, Rachaad",RB,TBB,NON_IDP,21.833333333333332,0.21401291250192653,8133.78,8133.78,85.62,6.491,10.526
2026,15394,"Adebo, Paulson",CB,NYG,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,11936,"Boswell, Chris",PK,PIT,NON_IDP,400.0,0.05,1900.3,1900.3,59.54,5.803,31.332
2026,14171,"Burns, Brian",DE,NYG,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,14170,"Bush, Devin",LB,CLE,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,17241,"Crawshaw, Jeremy",PN,DEN,NON_IDP,400.0,0.05,1900.3,1900.3,105.44,7.834,55.486
2026,15779,"Doubs, Romeo",WR,GBP,NON_IDP,14.583333333333334,0.26186146828319085,9952.32,9952.32,116.9,8.596,11.746
2026,15834,"Hamilton, Kyle",S,BAL,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,14138,"Hockenson, T.J.",TE,MIN,NON_IDP,16.833333333333332,0.24373333911071624,9263.34,9263.34,107.72,7.67,11.629
2026,12221,"Hunter, Danielle",DE,HOU,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,14073,"Jacobs, Josh",RB,GBP,NON_IDP,6.583333333333333,0.3897418814769785,14812.54,14812.54,124.28,9.064,8.39
2026,14056,"Murray, Kyler",QB,ARI,NON_IDP,8.416666666666666,0.34469099377285567,13100.34,13100.34,208.42,16.172,15.91
2026,15850,"Pitre, Jalen",S,HOU,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,16166,"Tucker, Sean",RB,TBB,NON_IDP,21.25,0.21693045781865616,8244.67,8244.67,86.22,6.53,10.458
2026,15256,"Williams, Javonte",RB,DAL,NON_IDP,8.25,0.3481553119113957,13232.0,13232.0,114.53,8.415,8.656
2026,16226,"Wilson, Tyree",DE,LVR,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,15238,"Fields, Justin",QB,NYJ,NON_IDP,19.333333333333332,0.22742941307367104,8643.69,8643.69,196.55,15.477,22.739
2026,13424,"Hill, Taysom",TE,NOS,NON_IDP,400.0,0.05,1900.3,1900.3,86.03,6.054,45.272
2026,9207,"Johnson, Josh",QB,WAS,NON_IDP,400.0,0.05,1900.3,1900.3,191.17,15.162,100.6
2026,14059,"Jones, Daniel",QB,IND,NON_IDP,10.5,0.3086066999241838,11728.92,11728.92,204.64,15.951,17.447
2026,13164,"Kupp, Cooper",WR,SEA,NON_IDP,23.75,0.20519567041703082,7798.67,7798.67,105.65,7.807,13.547
2026,17205,"Lambert-Smith, KeAndre",WR,LAC,NON_IDP,400.0,0.05,1900.3,1900.3,99.02,7.342,52.108
2026,13700,"Landry, Harold",DE,NEP,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,16149,"Levis, Will",QB,TEN,NON_IDP,400.0,0.05,1900.3,1900.3,191.17,15.162,100.6
2026,14067,"Minshew, Gardner",QB,KCC,NON_IDP,400.0,0.05,1900.3,1900.3,191.17,15.162,100.6
2026,17254,"Mumpfield, Konata",WR,LAR,NON_IDP,400.0,0.05,1900.3,1900.3,99.02,7.342,52.108
2026,12437,"Myers, Jason",PK,SEA,NON_IDP,400.0,0.05,1900.3,1900.3,59.54,5.803,31.332
2026,15692,"Pickett, Kenny",QB,LVR,NON_IDP,400.0,0.05,1900.3,1900.3,191.17,15.162,100.6
2026,12323,"Pinion, Bradley",PN,ATL,NON_IDP,400.0,0.05,1900.3,1900.3,105.44,7.834,55.486
2026,16927,"Redmond, Jalen",DT,MIN,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,15716,"Robinson, Brian",RB,SFO,NON_IDP,18.583333333333332,0.23197340190811772,8816.39,8816.39,89.32,6.737,10.131
2026,14412,"Singleton, Alex",LB,DEN,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,15003,"Stone, Geno",S,CIN,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,16192,"Washington, Parker",WR,JAC,NON_IDP,13.666666666666666,0.27050089040022973,10280.67,10280.67,118.66,8.719,11.542
2026,14168,"White, Devin",LB,LVR,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
