projection_season,franchise_id,team_name,player_id,player_name,position,nfl_team,normalized_adp,points_adp_proxy,expected_reg_points,expected_reg_ppg,action,projected_pool_ind,projected_salary_2026,projected_perceived_value,expected_points_per_1000_bid,points_model_group,points_model_samples,points_model_method
2026,0009,C-Town Chivalry,13589,"Allen, Josh",QB,BUF,1.0,1.0,435.3,27.456,expiring_to_pool,1,0,38006.04,11.453,QB,114,inv_sqrt_adp_weighted_linear
2026,0004,Pure Greatness,16580,"Maye, Drake",QB,NEP,1.0833333333333333,2.0,395.79,27.145,retain_existing,0,8000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0001,L.A. Looks,14777,"Burrow, Joe",QB,CIN,1.1666666666666667,3.0,355.39,24.779,expiring_to_pool,1,0,35186.75,10.1,QB,114,inv_sqrt_adp_weighted_linear
2026,0009,C-Town Chivalry,16581,"Daniels, Jayden",QB,WAS,1.25,4.0,331.3,23.368,retain_existing,0,12000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0005,HammerTime 🔨 ⏰,15281,"Chase, Ja'Marr",WR,CIN,1.3333333333333333,5.0,286.6,19.85,retain_existing,0,64000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0010,Blake Bombers,16211,"Nacua, Puka",WR,LAR,1.4166666666666667,6.0,286.6,19.85,manual_extension_keep,0,3000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0009,C-Town Chivalry,16185,"Smith-Njigba, Jaxon",WR,SEA,1.5,7.0,286.6,19.85,retain_existing,0,1000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0009,C-Town Chivalry,13593,"Jackson, Lamar",QB,BAL,1.5833333333333335,8.0,285.7,20.698,expiring_to_pool,1,0,30204.14,9.459,QB,114,inv_sqrt_adp_weighted_linear
2026,0005,HammerTime 🔨 ⏰,14783,"Hurts, Jalen",QB,PHI,1.6666666666666665,9.0,279.4,20.329,retain_existing,0,67000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0004,Pure Greatness,14836,"Jefferson, Justin",WR,MIN,1.75,10.0,268.55,19.231,retain_existing,0,71000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0012,Hawks,13116,"Mahomes, Patrick",QB,KCC,1.9166666666666665,12.0,265.49,19.514,expiring_to_pool,1,0,27452.34,9.671,QB,114,inv_sqrt_adp_weighted_linear
2026,0007,Sex Manther,16579,"Williams, Caleb",QB,CHI,2.25,16.0,253.45,18.809,retain_existing,0,15000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0011,Cleon Ca$h,14779,"Herbert, Justin",QB,LAC,2.4166666666666665,18.0,249.0,18.548,retain_existing,0,51000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0011,Cleon Ca$h,17032,"Dart, Jaxson",QB,NYG,2.5,19.0,247.04,18.434,retain_existing,0,9000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0011,Cleon Ca$h,16161,"Robinson, Bijan",RB,ATL,1.8333333333333335,11.0,244.12,17.042,manual_extension_keep,0,23000,0,,RB,256,inv_sqrt_adp_weighted_linear
2026,0006,The Long Haulers,15237,"Lawrence, Trevor",QB,JAC,2.6666666666666665,21.0,243.55,18.23,manual_tag_keep,0,37000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0001,L.A. Looks,15287,"St. Brown, Amon-Ra",WR,DET,2.0833333333333335,14.0,237.37,17.045,manual_tag_keep,0,51000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0010,Blake Bombers,15698,"Purdy, Brock",QB,SFO,3.1666666666666665,27.0,235.53,17.76,retain_existing,0,22000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0001,L.A. Looks,16582,"Nix, Bo",QB,DEN,3.25,28.0,234.45,17.696,retain_existing,0,5000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0011,Cleon Ca$h,14832,"Lamb, CeeDee",WR,DAL,2.1666666666666665,15.0,231.59,16.64,retain_existing,0,64000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0004,Pure Greatness,16162,"Gibbs, Jahmyr",RB,DET,2.0,13.0,228.05,15.972,retain_existing,0,31000,0,,RB,256,inv_sqrt_adp_weighted_linear
2026,0012,Hawks,12620,"Prescott, Dak",QB,DAL,4.0,37.0,226.79,17.248,manual_tag_keep,0,50000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0011,Cleon Ca$h,16615,"Nabers, Malik",WR,NYG,2.3333333333333335,17.0,221.62,15.94,retain_existing,0,13000,0,,WR,312,inv_sqrt_adp_weighted_linear
2026,0002,CBP,14782,"Love, Jordan",QB,GBP,4.833333333333333,47.0,221.02,16.91,retain_existing,0,21000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0004,Pure Greatness,13590,"Mayfield, Baker",QB,TBB,5.416666666666667,54.0,217.98,16.732,retain_existing,0,26000,0,,QB,114,inv_sqrt_adp_weighted_linear
