season,players,sf_direct_rows,sf_scaled_rows
2011,339,0,0
2012,326,0,0
2013,304,0,0
2014,334,0,0
2015,339,0,0
2016,321,0,0
2017,329,0,0
2018,391,0,0
2019,325,0,0
2020,366,0,0
2021,347,0,0
2022,336,0,0
2023,404,30,9
2024,394,35,3
2025,382,33,8
