input_name,input_position,input_team,sleeper_slot,average_pick,resolved_player_name,resolved_player_id,status,confidence
Elic Ayomanor,WR,TEN,16.7,187.0,"Ayomanor, Elic",17073,matched,1.0
Dalton Schultz,TE,HOU,16.8,188.0,"Schultz, Dalton",13772,matched,1.0
CJ Daniels,WR,RK,16.9,189.0,"Daniels, Jayden",16581,rejected_low_confidence,0.7273
Deion Burks,WR,RK,16.10,190.0,"Bush, Devin",14170,rejected_low_confidence,0.7368
T.J. Hockenson,TE,MIN,16.11,191.0,"Hockenson, T.J.",14138,matched,1.0
Ted Hurst,WR,RK,16.12,192.0,,,unmatched,0.0
Tyjae Spears,RB,TEN,17.1,193.0,"Spears, Tyjae",16165,matched,1.0
Alvin Kamara,RB,NO,17.2,194.0,"Kamara, Alvin",13132,matched,1.0
Adam Randall,RB,RK,17.3,195.0,,,unmatched,0.0
Terrance Ferguson,TE,LAR,17.4,196.0,"Ferguson, Terrance",17107,matched,1.0
AJ Barner,TE,SEA,17.5,197.0,"Barner, AJ",16723,matched,1.0
Jack Endries,TE,RK,17.6,198.0,,,unmatched,0.0
Shedeur Sanders,QB,CLE,17.7,199.0,"Sanders, Shedeur",17031,matched,1.0
James Conner,RB,ARI,17.8,200.0,"Conner, James",13146,matched,1.0
Braelon Allen,RB,NYJ,17.9,201.0,"Allen, Braelon",16596,matched,1.0
Eric McAlister,WR,RK,17.11,203.0,,,unmatched,0.0
Isaiah Likely,TE,UNS,17.12,204.0,"Likely, Isaiah",15798,matched,1.0
Jerry Jeudy,WR,CLE,18.1,205.0,"Jeudy, Jerry",14833,matched,1.0
Aaron Jones,RB,MIN,18.2,206.0,"Jones, Aaron",13319,matched,1.0
Tory Horton,WR,SEA,18.3,207.0,"Horton, Tory",17098,matched,1.0
Nathaniel Dell,WR,HOU,18.4,208.0,,,unmatched,0.0
Kaleb Johnson,RB,PIT,18.5,209.0,"Johnson, Kaleb",17048,matched,1.0
Kimani Vidal,RB,LAC,18.6,210.0,"Vidal, Kimani",16757,matched,1.0
Jaylin Noel,WR,HOU,18.7,211.0,"Noel, Jaylin",17080,matched,1.0
Brian Robinson Jr.,RB,UNS,18.8,212.0,"Robinson, Brian",15716,matched,1.0
Isaac TeSlaa,WR,DET,18.9,213.0,"TeSlaa, Isaac",17157,matched,1.0
Jordan Mason,RB,MIN,18.10,214.0,"Mason, Jordan",15972,matched,1.0
Isiah Pacheco,RB,UNS,18.11,215.0,"Pacheco, Isiah",15749,matched,1.0
Gunnar Helm,TE,TEN,18.12,216.0,"Helm, Gunnar",17105,matched,1.0
Malik Willis,QB,UNS,19.1,217.0,"Willis, Malik",15694,matched,1.0
Keon Coleman,WR,BUF,19.2,218.0,"Coleman, Keon",16617,matched,1.0
Jonathon Brooks,RB,CAR,19.3,219.0,"Brooks, Jonathon",16597,matched,1.0
Dylan Sampson,RB,CLE,19.4,220.0,"Sampson, Dylan",17047,matched,1.0
Justin Fields,QB,NYJ,19.5,221.0,"Fields, Justin",15238,matched,1.0
Jacoby Brissett,QB,ARI,19.6,222.0,"Brissett, Jacoby",12616,matched,1.0
Adonai Mitchell,WR,NYJ,19.7,223.0,"Mitchell, Adonai",16626,matched,1.0
Le'Veon Moss,RB,RK,19.9,225.0,,,unmatched,0.0
Mac Jones,QB,SF,19.10,226.0,"Jones, Marcus",15868,rejected_low_confidence,0.8421
Kyle Williams,WR,NE,19.11,227.0,"Williams, Kyle",17134,matched,1.0
Emanuel Wilson,RB,GB,19.12,228.0,"Wilson, Emanuel",16432,matched,1.0
Tank Bigsby,RB,PHI,20.1,229.0,"Bigsby, Tank",16164,matched,1.0
Marquise Brown,WR,UNS,20.2,230.0,"Brown, Marquise",14105,matched,1.0
Jalen Milroe,QB,SEA,20.3,231.0,"Milroe, Jalen",17033,matched,1.0
CJ Donaldson,RB,RK,20.4,232.0,,,unmatched,0.0
David Njoku,TE,UNS,20.5,233.0,"Njoku, David",13192,matched,1.0
Xavier Legette,WR,CAR,20.6,234.0,"Legette, Xavier",16639,matched,1.0
Rashod Bateman,WR,BAL,20.7,235.0,"Bateman, Rashod",15293,matched,1.0
Devin Neal,RB,NO,20.8,236.0,"Neal, Devin",17046,matched,1.0
J'Mari Taylor,RB,RK,20.9,237.0,"Taylor, Mason",17106,rejected_low_confidence,0.7273
Christian Kirk,WR,UNS,20.11,239.0,,,unmatched,0.0
Colby Parkinson,TE,LAR,20.12,240.0,"Parkinson, Colby",14871,matched,1.0
Elijah Arroyo,TE,SEA,21.1,241.0,"Arroyo, Elijah",17108,matched,1.0
Chigoziem Okonkwo,TE,UNS,21.2,242.0,"Okonkwo, Chigoziem",15889,matched,1.0
Darnell Mooney,WR,ATL,21.3,243.0,"Mooney, Darnell",14974,matched,1.0
Sean Tucker,RB,TB,21.4,244.0,"Tucker, Sean",16166,matched,1.0
Jake Tonges,TE,SF,21.5,245.0,"Tonges, Jake",16036,matched,1.0
Calvin Ridley,WR,TEN,21.7,247.0,"Ridley, Calvin",13629,matched,1.0
Kirk Cousins,QB,UNS,21.8,248.0,"Cousins, Kirk",10700,matched,1.0
Pat Freiermuth,TE,PIT,21.9,249.0,"Freiermuth, Pat",15331,matched,1.0
Cade Otton,TE,UNS,21.10,250.0,"Otton, Cade",15802,matched,1.0
Rachaad White,RB,UNS,21.11,251.0,"White, Rachaad",15721,matched,1.0
Keenan Allen,WR,UNS,21.12,252.0,"Allen, Keenan",11222,matched,1.0
Jack Bech,WR,LVR,22.1,253.0,"Bech, Jack",17078,matched,1.0
Travis Kelce,TE,KC,22.2,254.0,"Kelce, Travis",11244,matched,1.0
Dontayvion Wicks,WR,GB,22.3,255.0,"Wicks, Dontayvion",16195,matched,1.0
Chris Rodriguez,RB,WAS,22.4,256.0,"Rodriguez, Chris",16174,matched,1.0
Noah Thomas,WR,RK,22.5,257.0,,,unmatched,0.0
Taylen Green,QB,RK,22.6,258.0,"Warren, Jaylen",15742,rejected_low_confidence,0.6957
Evan Engram,TE,DEN,22.7,259.0,,,unmatched,0.0
Marlin Klein,TE,RK,22.8,260.0,,,unmatched,0.0
Joe Mixon,RB,HOU,22.9,261.0,"Mixon, Joe",13131,matched,1.0
Malik Washington,WR,MIA,22.10,262.0,"Washington, Malik",16684,matched,1.0
Ben Sinnott,TE,WAS,22.11,263.0,"Sinnott, Ben",16644,matched,1.0
Oscar Delp,TE,RK,22.12,264.0,,,unmatched,0.0
Marvin Mims Jr.,WR,DEN,23.1,265.0,"Mims, Marvin",16189,matched,1.0
Ray Davis,RB,BUF,23.2,266.0,"Davis, Ray",16603,matched,1.0
Devaughn Vele,WR,NO,23.3,267.0,"Vele, Devaughn",16788,matched,1.0
Cedric Tillman,WR,CLE,23.4,268.0,,,unmatched,0.0
Najee Harris,RB,UNS,23.5,269.0,"Harris, Najee",15254,matched,1.0
Tre Tucker,WR,LVR,23.6,270.0,"Tucker, Tre",16287,matched,1.0
Ryan Flournoy,WR,DAL,23.8,272.0,"Flournoy, Ryan",16778,matched,1.0
Ollie Gordon II,RB,MIA,23.9,273.0,"Gordon, Ollie",17059,matched,1.0
Cooper Kupp,WR,SEA,23.10,274.0,"Kupp, Cooper",13164,matched,1.0
