position,season,prior_season,player_id,player_name,franchise_id,prior_team_name,team_name,prior_status,cur_status,prior_salary,cur_salary,salary_jump_x,prior_cy,cur_cy,extension_flag,restructure_flag,mym_flag,contract_info,inferred_extension_term,inferred_extension_rate,reasons
RB,2021,2020,12164,"Davis, Mike",0005,Good in Da Hood,Run CMC,WW,Tag,12000,35000,2.92,1,1,0,0,0,CL 1| FA_2022| Multi_Eligible,0,0,salary_jump_no_flag
RB,2019,2018,12625,"Elliott, Ezekiel",0006,Good in Da Hood,Good in Da Hood,Rookie/Extension,Veteran GF,15000,35000,2.33,3,2,0,0,0,Extended GRide '19 '20,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2021,2020,12625,"Elliott, Ezekiel",0003,C-Town Chivalry,Gride,BL,BL,29000,58000,2.0,3,2,0,0,0,CL 3| TCV 145K| L 29K,0,0,salary_jump_no_flag
RB,2021,2020,12626,"Henry, Derrick",0010,Blake Bombers,Blake Bombers,Veteran,Veteran,29000,49000,1.69,3,2,0,0,0,CL 3| TCV 127K,0,0,salary_jump_no_flag
RB,2023,2022,12626,"Henry, Derrick",0008,Pure Greatness,Real Deal Creel,Veteran,Veteran,49000,94000,1.92,1,1,0,0,0,CL 1| TCV K| AAV K,0,0,salary_jump_no_flag
RB,2017,2016,12629,"Booker, Devontae",0010,,Blake Bombers,,RESTRUCTURE,0,15000,,0,2,0,1,0,"Ext Blake '18 [15K, 5K]",0,0,restructure_only
RB,2019,2018,12630,"Drake, Kenyan",0001,Cleon Ca$h,Ulterior Warrior,Rookie,Veteran,5000,21000,4.2,1,2,0,0,0,"Ext. Manther '20 [21K, 31K] TCV 52K",0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2019,2018,12634,"Howard, Jordan",0005,C'mon Son,Run CMC,Rookie/Extension,Veteran GF,5000,25000,5.0,3,2,0,0,0,"Ext. Son '19 [5K, 25K,25K]",0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2019,2018,12637,"Barber, Peyton",0005,Gride,Run CMC,FL,WW,5000,9000,1.8,2,1,0,0,0,,0,0,salary_jump_no_flag
RB,2021,2020,13108,"McKissic, J.D.",0009,Hawks,C-Town Chivalry,WW,Veteran,1000,10000,10.0,1,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
