player,pos,age,dyn_sf_rank,redraft_rank,win_now,asset,low_k,median_k,top10_k,price_confidence,deal_type,true_cost
Tyrod Taylor,QB,36.9,QB66,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Haynes King,QB,NA,QB67,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Aidan O'Connell,QB,27.8,QB68,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Mason Rudolph,QB,30.9,QB69,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Zach Wilson,QB,26.9,QB70,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Diego Pavia,QB,NA,QB72,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jake Browning,QB,NA,QB73,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Philip Rivers,QB,NA,QB74,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Joey Aguilar,QB,NA,QB75,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Sam Howell,QB,25.8,QB76,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jimmy Garoppolo,QB,NA,QB77,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Mitchell Trubisky,QB,NA,QB78,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jarrett Stidham,QB,NA,QB79,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Brady Cook,QB,NA,QB80,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Drew Lock,QB,29.6,QB81,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Andy Dalton,QB,NA,QB82,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Kyle McCord,QB,23.7,QB83,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Joshua Dobbs,QB,NA,QB84,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Max Brosmer,QB,NA,QB85,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Nick Mullens,QB,NA,QB86,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Kurtis Rourke,QB,NA,QB87,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Cooper Rush,QB,NA,QB88,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Hendon Hooker,QB,NA,QB89,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Kyle Allen,QB,NA,QB90,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Stetson Bennett IV,QB,NA,QB91,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Dorian Thompson-Robinson,QB,NA,QB92,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Bailey Zappe,QB,NA,QB93,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Tommy DeVito,QB,NA,QB94,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Desmond Ridder,QB,NA,QB95,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Sam Ehlinger,QB,NA,QB96,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Josh Johnson,QB,NA,QB97,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Case Keenum,QB,NA,QB98,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Sean Clifford,QB,NA,QB99,,—,D,1.0,1.0,7.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Mark Andrews,TE,30.8,TE18,TE11,B,C,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Chig Okonkwo,TE,26.8,TE19,TE20,C,C,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Travis Kelce,TE,36.7,TE21,TE9,B,C,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Juwan Johnson,TE,29.8,TE24,TE24,C,C,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Gunnar Helm,TE,23.8,TE25,TE27,D,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Hunter Henry,TE,31.5,TE26,TE19,C,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Pat Freiermuth,TE,27.6,TE33,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Greg Dulcich,TE,26.2,TE37,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jake Tonges,TE,26.9,TE40,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Evan Engram,TE,31.8,TE42,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Darnell Washington,TE,24.8,TE45,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Mike Gesicki,TE,30.7,TE48,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Marlin Klein,TE,NA,TE49,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Tanner Koziol,TE,NA,TE50,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Michael Trigg,TE,NA,TE51,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jack Endries,TE,NA,TE52,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Matt Hibner,TE,NA,TE53,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Dawson Knox,TE,29.6,TE55,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Tyler Higbee,TE,33.5,TE56,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Joe Royer,TE,NA,TE58,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Luke Musgrave,TE,25.8,TE59,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Elijah Higgins,TE,25.6,TE62,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Noah Gray,TE,27.1,TE63,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Luke Schoonmaker,TE,27.7,TE64,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Nate Boerkircher,TE,NA,TE65,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Will Kacmarek,TE,NA,TE66,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Mitchell Evans,TE,23.3,TE67,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Dae'Quan Wright,TE,NA,TE68,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Dallen Bentley,TE,NA,TE69,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Darren Waller,TE,33.8,TE70,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Seydou Traore,TE,NA,TE71,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Riley Nowakowski,TE,NA,TE72,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jaren Kanak,TE,NA,TE73,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
RJ Maryland,TE,NA,TE74,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Josh Cuevas,TE,NA,TE75,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Tyler Conklin,TE,NA,TE76,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Carsen Ryan,TE,NA,TE78,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Tommy Tremble,TE,26,TE79,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Taysom Hill,TE,NA,TE80,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Daniel Bellinger,TE,25.7,TE81,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
John Michael Gyllenborg,TE,NA,TE82,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jared Wiley,TE,25.6,TE83,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Adam Trautman,TE,NA,TE84,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Josh Oliver,TE,NA,TE85,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Thomas Fidone II,TE,23.7,TE86,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Austin Hooper,TE,NA,TE87,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Charlie Kolar,TE,27.4,TE88,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Davis Allen,TE,25.4,TE89,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Grant Calcaterra,TE,27.5,TE90,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Will Dissly,TE,NA,TE91,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Brock Wright,TE,27.6,TE92,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jeremy Ruckert,TE,25.9,TE93,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jackson Hawes,TE,NA,TE94,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Foster Moreau,TE,29.1,TE95,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Hunter Long,TE,NA,TE96,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Kylen Granson,TE,NA,TE97,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jake Briningstool,TE,NA,TE98,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Brevin Jordan,TE,25.9,TE99,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Luke Lachey,TE,NA,TE100,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Tanner Hudson,TE,NA,TE101,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Stone Smartt,TE,NA,TE102,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Harrison Bryant,TE,NA,TE103,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jelani Woods,TE,NA,TE104,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jalin Conyers,TE,NA,TE105,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Gavin Bartholomew,TE,NA,TE106,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jaheim Bell,TE,NA,TE107,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Luke Farrell,TE,NA,TE108,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Tip Reiman,TE,NA,TE109,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Josh Whyle,TE,NA,TE110,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Will Mallory,TE,NA,TE111,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Julian Hill,TE,NA,TE112,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Devin Culp,TE,NA,TE113,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
John Bates,TE,NA,TE114,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Lucas Krull,TE,NA,TE115,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Gerald Everett,TE,NA,TE116,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Moliki Matavao,TE,NA,TE117,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Irv Smith Jr.,TE,NA,TE118,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Brevyn Spann-Ford,TE,NA,TE119,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Drew Ogletree,TE,NA,TE120,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Johnny Mundt,TE,NA,TE121,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Payne Durham,TE,NA,TE122,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Drew Sample,TE,NA,TE123,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Mo Alie-Cox,TE,NA,TE124,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Donald Parham Jr.,TE,NA,TE125,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Eric Saubert,TE,NA,TE126,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Jack Stoll,TE,NA,TE127,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Durham Smythe,TE,NA,TE128,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
James Mitchell,TE,NA,TE129,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Connor Heyward,TE,NA,TE130,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Shane Zylstra,TE,NA,TE131,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Ian Thomas,TE,NA,TE132,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
Teagan Quitoriano,TE,NA,TE133,,—,D,1.0,1.0,5.0,model,cut-free dart,"$0 downside — cut anytime (1-yr ≤$4K, §D2)"
