player_id,player_name,team_2025_w1,status_2025_w1,contract_status_2025_w1,contract_year_2025_w1,salary_2025_w1,aav_2025_w1,contract_info_2025_w1,team_2024_eoy,status_2024_eoy,contract_status_2024_eoy,contract_year_2024_eoy,salary_2024_eoy,aav_2024_eoy,contract_info_2024_eoy,aav_delta,source_type,source_detail,draft_pick_2025,auction_type_2025,auction_winning_bid_2025,auction_date_2025,dropped_under_contract_from_2024,drop_count_pre_deadline_2025,last_drop_date_pre_deadline_2025,last_drop_team_pre_deadline_2025,last_drop_method_pre_deadline_2025,last_drop_raw_type_pre_deadline_2025,reacquired_after_drop_pre_deadline_2025,last_add_date_pre_deadline_2025,last_add_team_pre_deadline_2025,last_add_method_pre_deadline_2025,last_add_raw_type_pre_deadline_2025,last_add_salary_pre_deadline_2025,multi_aav_parse_2024,multi_aav_parse_2025
16153,"Bennett, Stetson",Pure Greatness,TAXI_SQUAD,Rookie,1,2000,2000,CL 3| TCV 6K| AAV 2K,Pure Greatness,TAXI_SQUAD,Rookie,2,2000,2000,CL 3| TCV 6K| AAV 2K,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
16581,"Daniels, Jayden",C-Town Chivalry,ROSTER,Rookie,2,12000,12000,CL 3| TCV 36K| AAV 12K,C-Town Chivalry,ROSTER,Rookie,3,12000,12000,CL 3| TCV 36K| AAV 12K,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
15238,"Fields, Justin",The Long Haulers,ROSTER,Veteran,1,25000,25000,CL 2| TCV 50K| Ext: PG,Pure Greatness,ROSTER,Veteran,2,25000,25000,CL 2| TCV 50K| Ext: PG,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
12611,"Goff, Jared",CBP,ROSTER,BL,1,30000,35000,"CL 2| TCV 56K| AAV 35K| Y1-26, Y2-30K| Ext: Sex",CBP,ROSTER,BL,2,26000,35000,"CL 2| TCV 56K| AAV 35K| Y1-26, Y2-30K| Ext: Sex",SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
16156,"Haener, Jake",C-Town Chivalry,TAXI_SQUAD,Rookie,1,2000,2000,CL 3| TCV 6K| AAV 2K,C-Town Chivalry,TAXI_SQUAD,Rookie,2,2000,2000,CL 3| TCV 6K| AAV 2K,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
16151,"Hooker, Hendon",C-Town Chivalry,TAXI_SQUAD,Rookie,1,5000,5000,CL 3| TCV 15K| AAV 5K,C-Town Chivalry,TAXI_SQUAD,Rookie,2,5000,5000,CL 3| TCV 15K| AAV 5K,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
14783,"Hurts, Jalen",HammerTime 🔨 ⏰,ROSTER,BL,2,17000,42000,"CL 2| TCV 84K| AAV 42K| Y1-17K, Y2-67K| Ext: Gride, Hammer",HammerTime 🔨 ⏰,ROSTER,Veteran,3,22000,22000,"CL 3| TCV 106K| AAV 22K/42K| Y1-22K, Y2-42K, Y3-42K| Ext: Gride, Hammer",UP,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
14059,"Jones, Daniel",The Long Haulers,ROSTER,FL,1,21000,36000,CL 3| TCV 73K| AAV 36K| Y1-31 Y2-21 Y3-21,Sex Manther,ROSTER,FL,2,21000,36000,CL 3| TCV 73K| AAV 36K| Y1-31 Y2-21 Y3-21,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
15237,"Lawrence, Trevor",The Long Haulers,ROSTER,Veteran,1,11000,29000,"CL 2| TCV 58K| AAV 29K| Y1-47, Y2-11| No Further Extension Allowed",The Long Haulers,INJURED_RESERVE,Veteran,2,47000,29000,"CL 2| TCV 58K| AAV 29K| Y1-47, Y2-11| No Further Extension Allowed",SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
16149,"Levis, Will",The Long Haulers,INJURED_RESERVE,Rookie,1,6000,6000,CL 3| TCV 18K| AAV 6K,The Long Haulers,ROSTER,Rookie,2,6000,6000,CL 3| TCV 18K| AAV 6K,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
14782,"Love, Jordan",CBP,ROSTER,Veteran,2,21000,21000,"CL 3| TCV 43K| AAV 21K| Y1-1, Y2-21, Y3-21| Ext: PG",CBP,ROSTER,Veteran,3,1000,1000,"CL 3| TCV 43K| AAV 1K/21K| Y1-1, Y2-21, Y3-21| Ext: PG",UP,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
13116,"Mahomes, Patrick",Hawks,ROSTER,BL,1,68000,54000,"CL 2| TCV 108K| AAV 54K| Y1-40K,| Y2-68K| No Further Extension Allowed",Hawks,ROSTER,BL,2,40000,54000,"CL 2| TCV 108K| AAV 54K| Y1-40K,| Y2-68K| No Further Extension Allowed",SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
16580,"Maye, Drake",Pure Greatness,ROSTER,Rookie,2,8000,8000,CL 3| TCV 24K| AAV 8K,Pure Greatness,ROSTER,Rookie,3,8000,8000,CL 3| TCV 24K| AAV 8K,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
16584,"McCarthy, J.J.",Cleon Ca$h,ROSTER,Rookie,2,11000,11000,CL 3| TCV 33K| AAV 11K,Cleon Ca$h,INJURED_RESERVE,Rookie,3,11000,11000,CL 3| TCV 33K| AAV 11K,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
15702,"McKee, Tanner",Sex Manther,ROSTER,Veteran,3,1000,1000,CL 3| TCV 3K| AAV 1K,,,,,,,,NEW,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,2025-08-14,Sex Manther,BBID,BBID_WAIVER,1000,0,0
16582,"Nix, Bo",L.A. Looks,ROSTER,Rookie,2,5000,5000,CL 3| TCV 15K| AAV 5K,Ulterior Warrior,ROSTER,Rookie,3,5000,5000,CL 3| TCV 15K| AAV 5K,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
16583,"Penix Jr., Michael",HammerTime 🔨 ⏰,ROSTER,Rookie,2,5000,5000,CL 3| TCV 15K| AAV 5K,Real Deal Creel,TAXI_SQUAD,Rookie,3,5000,5000,CL 3| TCV 15K| AAV 5K,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
12620,"Prescott, Dak",Hawks,ROSTER,Veteran,1,45000,45000,"CL 2| TCV 90K| AAV 45K| Y1-45, Y2-45,",Hawks,INJURED_RESERVE,Veteran,2,45000,45000,"CL 2| TCV 90K| AAV 45K| Y1-45, Y2-45,",SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
16586,"Rattler, Spencer",Cleon Ca$h,TAXI_SQUAD,Rookie,2,2000,2000,CL 3| TCV 6K| AAV 2K,Cleon Ca$h,TAXI_SQUAD,Rookie,3,2000,2000,CL 3| TCV 6K| AAV 2K,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
16152,"Richardson, Anthony",HammerTime 🔨 ⏰,ROSTER,Veteran,3,11000,11000,CL 3| TCV 33K| AAV 11K,Sex Manther,ROSTER,Rookie,2,14000,14000,CL 3| TCV 42K| AAV 14K,DOWN,Carryover/Other,Carryover/Other | Dropped under contract -> re-added via BBID_WAIVER,,,,,1,1,2025-08-23,Sex Manther,BBID,BBID_WAIVER,1,2025-08-28,HammerTime 🔨 ⏰,BBID,BBID_WAIVER,11000,0,0
16150,"Stroud, C.J.",Gride,ROSTER,Rookie,1,12000,12000,CL 3| TCV 36K| AAV 12K,Gride,ROSTER,Rookie,2,12000,12000,CL 3| TCV 36K| AAV 12K,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
14778,"Tagovailoa, Tua",C-Town Chivalry,ROSTER,FL,2,15000,49000,CL 3| TCV 116K| AAV 49K| Y1-86 Y2-15 Y3-15| Ext: C-Town,C-Town Chivalry,ROSTER,FL,3,86000,29000,"CL 3| TCV 116K| AAV 29K, 49K| Y1-86 Y2-15 Y3-15| Ext: C-Town",UP,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
16579,"Williams, Caleb",Sex Manther,ROSTER,Rookie,2,15000,15000,CL 3| TCV 45K| AAV 15K,Sex Manther,ROSTER,Rookie,3,15000,15000,CL 3| TCV 45K| AAV 15K,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
16148,"Young, Bryce",Gride,ROSTER,Rookie,1,13000,13000,CL 3| TCV 39K| AAV 13K,Gride,ROSTER,Rookie,2,13000,13000,CL 3| TCV 39K| AAV 13K,SAME,Carryover/Other,Carryover/Other,,,,,0,0,,,,,0,,,,,,0,0
13592,"Darnold, Sam",Gride,ROSTER,Veteran,2,18000,18000,CL 2| TCV 36K| AAV 18K,Cleon Ca$h,ROSTER,Veteran,1,7000,7000,CL 1|,UP,FA Auction,FA Auction,,FreeAgent,18000,2025-08-04,0,0,,,,,0,,,,,,0,0
9064,"Flacco, Joe",Sex Manther,ROSTER,Veteran,1,6000,6000,CL 1|,Cleon Ca$h,ROSTER,WW,1,2000,2000,CL 1|,UP,FA Auction,FA Auction,,FreeAgent,6000,2025-08-07,0,0,,,,,0,,,,,,0,0
