season,position_filter,player_id,player_name,nfl_team,lineage_seq,owner_franchise_id,owner_team_name,stint_start_date,stint_end_date,acquire_source,close_source,week1_owner_franchise_id,week1_owner_team_name,prior_owner_franchise_id,prior_owner_team_name,week1_contract_info,prior_contract_info,generated_at_utc
2018,PK,13980,,,1,0006,Good in Da Hood,2018-11-22,2018-12-22,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
2018,PK,13241,,,1,0001,Ulterior Warrior,2018-11-25,2018-12-09,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
2018,PK,10506,,,2,0001,Ulterior Warrior,2018-11-25,2018-11-28,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
2018,PK,12860,,,4,0007,Sex Manther,2018-11-28,2018-12-24,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:29
2018,PK,13241,,,2,0001,Ulterior Warrior,2018-12-12,2018-12-24,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:29
2018,PK,5666,,,1,0009,C-Town Chivalry,2018-12-16,2018-12-22,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:29
2018,PK,11966,,,2,0005,C'mon Son,2018-12-16,2018-12-24,ADDDROP:FREE_AGENT,SEASON_END,,,,,,,2026-04-21 22:09:29
2018,PK,2842,,,2,0009,C-Town Chivalry,2018-12-22,2018-12-24,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:29
2019,PK,11339,,,1,0008,#BLM,2019-08-25,2019-09-04,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,11945,,,1,0010,Blake Bombers,2019-08-25,2019-08-31,AUCTION:FreeAgent,FREE_AGENT,,,,,,,2026-04-21 22:09:33
2019,PK,12417,,,1,0008,#BLM,2019-09-04,2019-09-05,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,13980,,,1,0008,#BLM,2019-09-05,2019-09-08,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,13303,,,1,0008,#BLM,2019-09-18,2019-09-25,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,14600,,,1,0005,Run CMC,2019-09-19,2019-12-01,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:33
2019,PK,13347,,,1,0001,Ulterior Warrior,2019-09-21,2019-10-03,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,11947,,,1,0004,Pure Greatness,2019-09-22,2019-10-06,ADDDROP:FREE_AGENT,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:33
2019,PK,12417,,,2,0007,Sex Manther,2019-09-26,2019-11-05,ADDDROP:BBID,FREE_AGENT,,,,,,,2026-04-21 22:09:33
2019,PK,13719,,,1,0001,Ulterior Warrior,2019-10-03,2019-10-13,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:33
2019,PK,14258,,,1,0004,Pure Greatness,2019-10-06,2019-10-13,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,7859,,,1,0008,#BLM,2019-10-06,2019-10-16,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,10862,,,1,0001,Ulterior Warrior,2019-10-13,2019-10-17,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,13347,,,2,0004,Pure Greatness,2019-10-13,2019-12-23,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:33
2019,PK,10506,,,1,0001,Ulterior Warrior,2019-10-17,2019-11-16,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,11947,,,2,0010,Blake Bombers,2019-10-17,2019-10-23,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,11947,,,3,0011,Cleon Ca$h,2019-10-31,2019-11-09,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,13980,,,2,0007,Sex Manther,2019-11-06,2019-11-19,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:33
2019,PK,11936,,,1,0011,Cleon Ca$h,2019-11-09,2019-12-23,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:33
2019,PK,14717,,,1,0012,Hawks,2019-11-10,2019-11-13,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,13403,,,1,0008,#BLM,2019-11-20,2019-12-04,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,12417,,,3,0003,Gride,2019-11-20,2019-11-27,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,14717,,,2,0007,Sex Manther,2019-11-21,2019-12-17,ADDDROP:BBID,FREE_AGENT,,,,,,,2026-04-21 22:09:33
2019,PK,13980,,,3,0005,Run CMC,2019-11-28,2019-12-07,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,13303,,,2,0005,Run CMC,2019-12-07,2019-12-11,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,11947,,,4,0012,Hawks,2019-12-12,2019-12-23,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:33
2019,PK,14258,,,2,0008,#BLM,2019-12-15,2019-12-18,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:09:33
2019,PK,13403,,,2,0006,Good in Da Hood,2019-12-18,2019-12-23,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:33
2019,PK,10506,,,2,0008,#BLM,2019-12-22,2019-12-23,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:33
2020,PK,14965,,,1,0012,Hawks,2020-08-19,2020-08-27,AUCTION:FreeAgent,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:38
2020,PK,8359,,,1,0010,Blake Bombers,2020-09-05,2020-09-07,ADDDROP:BBID,FREE_AGENT,,,,,,,2026-04-21 22:09:38
2020,PK,14912,,,1,0007,Sex Manther,2020-09-23,2020-12-28,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:38
2020,PK,13718,,,1,0009,C-Town Chivalry,2020-09-24,2020-10-18,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:38
2020,PK,10862,,,1,0005,Run CMC,2020-09-30,2020-10-17,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:38
2020,PK,8359,,,2,0004,Pure Greatness,2020-09-30,2020-10-28,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:38
